id,season_2019-2020,league,team_type,club,stadium,capacity,street,postcode,city,federal_state,latitude,longitude,homepage,wikipedia_de,wikipedia_en,openstreetmap_object
48,germany_league_3,3. Liga,1,TSV 1860 München,Grünwalder Stadion,15.000,Grünwalder Straße 2–4,81547,München,BY,48.11100,11.57448,tsv1860.org,https://de.wikipedia.org/wiki/TSV_1860_München,https://en.wikipedia.org/wiki/TSV_1860_Munich,https://www.openstreetmap.org/relation/4548483
49,germany_league_3,3. Liga,1,SV Meppen,Hänsch-Arena,13.696,Lathener Straße 15A,49716,Meppen,NI,52.70802,7.29800,svmeppen.de,https://de.wikipedia.org/wiki/SV_Meppen,https://en.wikipedia.org/wiki/SV_Meppen,https://www.openstreetmap.org/way/196582775
50,germany_league_3,3. Liga,1,FC Carl Zeiss Jena,Ernst-Abbe-Sportfeld,10.445,Oberaue 3,07745,Jena,TH,50.91606,11.58291,fc-carlzeiss-jena.de,https://de.wikipedia.org/wiki/FC_Carl_Zeiss_Jena,https://en.wikipedia.org/wiki/FC_Carl_Zeiss_Jena,https://www.openstreetmap.org/way/114681790
51,germany_league_3,3. Liga,1,SG Sonnenhof Großaspach,mechatronik Arena,10.001,Im Fautenhau 1,71546,Aspach-Großaspach,BW,48.98053,9.39294,sg94.de,https://de.wikipedia.org/wiki/SG_Sonnenhof_Großaspach,https://en.wikipedia.org/wiki/SG_Sonnenhof_Großaspach,https://www.openstreetmap.org/way/372567612
52,germany_league_3,3. Liga,1,Eintracht Braunschweig,Eintracht-Stadion,23.325,Hamburger Straße 210,38112,Braunschweig,NI,52.29012,10.52157,eintracht.com,https://de.wikipedia.org/wiki/Eintracht_Braunschweig,https://en.wikipedia.org/wiki/Eintracht_Braunschweig,https://www.openstreetmap.org/way/110564704
53,germany_league_3,3. Liga,1,Chemnitzer FC,Stadion – An der Gellertstraße,15.200,Gellertstraße 25,09130,Chemnitz,SN,50.84219,12.94565,chemnitzerfc.de,https://de.wikipedia.org/wiki/Chemnitzer_FC,https://en.wikipedia.org/wiki/Chemnitzer_FC,https://www.openstreetmap.org/way/653342937
54,germany_league_3,3. Liga,1,SV Waldhof Mannheim,Carl-Benz-Stadion,25.721,Theodor-Heuss-Anlage 20,68165,Mannheim,BW,49.47948,8.50250,svw07.de,https://de.wikipedia.org/wiki/SV_Waldhof_Mannheim,https://en.wikipedia.org/wiki/SV_Waldhof_Mannheim,https://www.openstreetmap.org/way/181915119
55,germany_league_3,3. Liga,1,FC Viktoria Köln,Sportpark Höhenberg,6.214,Höhenberger Ring,51103,Köln,NW,50.94517,7.03043,viktoria1904.de,https://de.wikipedia.org/wiki/FC_Viktoria_Köln,https://en.wikipedia.org/wiki/FC_Viktoria_Köln,https://www.openstreetmap.org/way/26490834
56,germany_league_3,3. Liga,2,FC Bayern München II,Grünwalder Stadion,15.000,Grünwalder Straße 2-4,81547,München,BY,48.11100,11.57448,fcbayern.com,https://de.wikipedia.org/wiki/FC_Bayern_München#Die_zweite_Mannschaft,https://en.wikipedia.org/wiki/FC_Bayern_Munich,https://www.openstreetmap.org/relation/4548483
57,germany_league_4,Regionalliga Nord,2,VfL Wolfsburg II,AOK Stadion Wolfsburg,5.200,Allerpark 2,38448,Wolfsburg,NI,52.43458,10.80689,vfl-wolfsburg.de,https://de.wikipedia.org/wiki/VfL_Wolfsburg,https://en.wikipedia.org/wiki/VfL_Wolfsburg,https://www.openstreetmap.org/way/330262056
